offer_id,source,url,price_amount,price_currency,price_per_m2,city,lat,lon,area_m2,rooms
gratka-975331,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-oliwa-pawla-gdanca/ob/45133183,465000.0,PLN,15000.0,Gdańsk,54.413353,18.5561122,31.0,1.0
gratka-11553/18080/OMS,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-srodmiescie-szafarnia/ob/44184489,3300000.0,PLN,27500.0,Gdańsk,54.3483268,18.6604028,120.0,5.0
gratka-23610681,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-stogi-skiby/ob/45592945,639900.0,PLN,18602.0,Gdańsk,54.3611008,18.7128242,34.4,1.0
gratka-L.MK.13,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-aniolki-powstancow-warszawskich/ob/45131163,1865123.0,PLN,19254.0,Gdańsk,54.3526073,18.6108529,96.87,4.0
gratka-f-195862,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-srodmiescie-jaskolcza/ob/38096441,1457760.0,PLN,16000.0,Gdańsk,54.3424048,18.6593977,91.11,4.0
gratka-TC182960,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-siedlce-seweryna-goszczynskiego/ob/31708867,849000.0,PLN,12515.0,Gdańsk,54.3505645,18.6141458,67.84,3.0
gratka-LDK813191,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-przymorze-obroncow-wybrzeza/ob/45036853,827000.0,PLN,11486.0,Gdańsk,54.4086435,18.5934168,72.0,4.0
gratka-394/18538/OMS,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-wyspa-sobieszewska-lakowa/ob/45445173,1199000.0,PLN,29975.0,Gdańsk,54.342638,18.6622171,40.0,2.0
gratka-TC319363,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-przymorze-obroncow-wybrzeza/ob/45119835,1799000.0,PLN,27720.0,Gdańsk,54.4086435,18.5934168,64.9,3.0
gratka-MG990306,gratka,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-kokoszki-storczykowa/ob/45258791,429000.0,PLN,14793.0,Gdańsk,54.355016,18.5104942,29.0,1.0
