offer_id,source,url,price_amount,price_currency,price_per_m2,city,lat,lon,area_m2,rooms
ogl66199844,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/inpro-s-a-optima-gotowe-do-odbioru-mieszkanie-2-pok-44-97-m2-na-sprzedaz-umowa-cesji-ogl66199844.html,531400.0,PLN,11816.77,Kowale,54.33342,18.54146,44.97,2.0
ogl66270594,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-dostepne-od-zaraz-sprzedaz-bez-posrednikow-ogl66270594.html,635000.0,PLN,13510.64,Kowale,54.34153,18.57061,47.0,2.0
ogl66311054,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/krolewskie-wzgorze-gdansk-2-pokoje-na-sprzedaz-ogl66311054.html,720000.0,PLN,12859.44,Kowale,54.3507,18.56993,55.99,2.0
ogl66282800,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-2-pokoje-chlopska-przymorze-male-ogl66282800.html,599000.0,PLN,16366.12,Sopot,54.41146,18.58767,36.6,2.0
ogl66248734,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-w-kameralnej-dzielnicy-ogl66248734.html,579000.0,PLN,9449.98,Gdansk,54.32611,18.6204,61.27,3.0
ogl66310663,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-sprzedaz-gdansk-zabianka-blisko-morza-ogl66310663.html,619000.0,PLN,15097.56,Sopot,54.41986,18.58261,41.0,2.0
ogl66310408,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/posiadamy-na-sprzedaz-ekskluzywnydwupokojowy-apar-ogl66310408.html,999000.0,PLN,19588.24,Gdansk,54.34531,18.6566,51.0,2.0
ogl66309288,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-gdansk-kowale-ul-zeusa-ogl66309288.html,549000.0,PLN,10232.99,Kowale,54.30315,18.57369,53.65,3.0
ogl66292753,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-mieszkanie-3-pokojowe-gdansk-stogi-ogl66292753.html,690000.0,PLN,12432.43,Gdansk,54.36149,18.71789,55.5,3.0
ogl66309027,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-ogl66309027.html,500000.0,PLN,8818.34,Gdansk,54.39913,18.66833,56.7,2.0
ogl66208353,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/osiedle-zen-gdansk-orunia-kawalerka-na-sprzedaz-ogl66208353.html,346100.0,PLN,12594.61,Rotmanka,54.29781,18.60391,27.48,1.0
ogl66246475,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-przestronne-mieszkanie-w-sercu-gdanska-ogl66246475.html,849000.0,PLN,13328.1,Gdansk,54.37993,18.58644,63.7,3.0
ogl66307602,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-ogl66307602.html,480000.0,PLN,15513.9,Gdansk,54.35411,18.60737,30.94,1.0
ogl66307292,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-w-debogorzu-ogl66307292.html,980000.0,PLN,11780.26,Kosakowo,54.58463,18.46724,83.19,4.0
ogl66266906,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-2-pok-na-sprzedaz-gdansk-zabianka-z-ogl66266906.html,659000.0,PLN,15505.88,Sopot,54.41986,18.58261,42.5,2.0
ogl66306574,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-2-pokojowe-mieszkanie-portova-gdynia-ogl66306574.html,1399000.0,PLN,25436.36,Gdynia,54.52434,18.54309,55.0,2.0
ogl65978322,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/duze-mieszkanie-4-pokojowe-na-sprzedaz-ogl65978322.html,831204.0,PLN,9900.0,Rotmanka,54.2708,18.61671,83.96,4.0
ogl65980298,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/sloneczne-4-pokojowe-mieszkanie-na-sprzedaz-ogl65980298.html,712000.0,PLN,8099.19,Lublewo Gdanskie,54.35389,18.4908,87.91,4.0
ogl66304780,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-2-pokojowe-mieszkanie-w-sercu-gdanska-ogl66304780.html,830000.0,PLN,21917.08,Gdansk,54.3475,18.64661,37.87,2.0
ogl66303828,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/kamienica-przy-dmowskiego-mieszkanie-na-sprzedaz-ogl66303828.html,1270000.0,PLN,12574.26,Gdansk,54.37857,18.60657,101.0,3.0
ogl66302940,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/sprzedaz-lub-zamiana-na-pog-gorneparter-lub-winda-ogl66302940.html,443299.0,PLN,10999.98,Pogorze,54.55469,18.50745,40.3,2.0
ogl66299073,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-gdynia-obluze-ogl66299073.html,549000.0,PLN,10261.68,Pogorze,54.55332,18.49979,53.5,3.0
ogl66301727,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-2-pokojowe-mieszkanie-powierzchnia-42m-ogl66301727.html,525000.0,PLN,12431.92,Gdansk,54.35411,18.60737,42.23,2.0
ogl66298543,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/syndyk-i-przetarg-na-sprzedaz-mieszkania-gdansk-osowa-hery-ogl66298543.html,975000.0,PLN,11310.9,Wielki Kack,54.42012,18.47837,86.2,3.0
ogl66257046,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/na-sprzedaz-przestronne-mieszkanie-z-duzym-ogrodem-ogl66257046.html,815759.0,PLN,10050.01,Pruszcz Gdanski,54.2658,18.65726,81.17,4.0
ogl66257047,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/na-sprzedaz-przestronne-mieszkanie-2-pokojowe-w-pr-ogl66257047.html,478943.0,PLN,10360.0,Pruszcz Gdanski,54.2658,18.65726,46.23,2.0
ogl66232354,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/2-pokoje-na-sprzedaz-ogl66232354.html,535000.0,PLN,14459.46,Rotmanka,54.29781,18.60391,37.0,2.0
ogl66242231,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-apartament-gdansk-srodmiescie-lastadia-ogl66242231.html,1599000.0,PLN,23037.03,Gdansk,54.34638,18.65152,69.41,2.0
ogl66093581,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-2-pokojowe-gdansk-sprzedazzamiana-bezposrednio-ogl66093581.html,499000.0,PLN,11604.65,Gdansk,54.33032,18.628,43.0,2.0
ogl66237705,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-mieszkanie-635-m-starowka-ogl66237705.html,989000.0,PLN,15574.8,Gdansk,54.35044,18.65299,63.5,2.0
ogl66224991,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/posiadamy-na-sprzedaz-duze-mieszkanie-jednopoziomo-ogl66224991.html,950250.0,PLN,10500.0,Gdansk,54.34909,18.61264,90.5,4.0
ogl66222307,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-2-pk-na-sprzedaz-do-wprowadzenia-sie-ogl66222307.html,454000.0,PLN,12971.43,Gdynia,54.50009,18.51215,35.0,2.0
ogl66221618,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/jasne-3-pokojowe-mieszkanie-na-sprzedaz-gdansk-ogl66221618.html,726000.0,PLN,12000.0,Sopot,54.38001,18.55945,60.5,3.0
ogl66220671,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-torunska-18-gdansk-ogl66220671.html,755000.0,PLN,17558.14,Gdansk,54.3412,18.65527,43.0,2.0
ogl66214418,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-blisko-morza-ogl66214418.html,1999000.0,PLN,34465.52,Sopot,54.42154,18.60149,58.0,2.0
ogl66214000,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-przytulne-2-pokojowe-mieszkanie-ogl66214000.html,490000.0,PLN,16333.33,Kowale,54.31613,18.59351,30.0,2.0
ogl66179823,trojmiasto,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-inwestycyjne-sprzedaz-gdansk-wrzeszcz-ogl66179823.html,1299000.0,PLN,10560.98,Gdansk,54.38134,18.60411,123.0,4.0
