offer_id,source,url,price_amount,price_currency,price_per_m2,city,lat,lon,area_m2,rooms
4yN1m,otodom,https://www.otodom.pl/pl/oferta/5-min-pieszo-od-uczelni-po-remoncie-ID4yN1m,599000.0,PLN,16639.0,Gdańsk,54.3706537,18.6181076,36.0,2
4z6zA,otodom,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-czteropokojowe-w-swietnej-lok-ID4z6zA,740000.0,PLN,9997.0,Gdańsk,54.3091,18.5895,74.02,4
4ucZb,otodom,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4ucZb,643655.0,PLN,19300.0,Gdańsk,54.356460652119,18.627955903531,33.35,1
4uqTW,otodom,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bez-prowizji-ID4uqTW,648192.0,PLN,21100.0,Gdańsk,54.356460652119,18.627955903531,30.72,1
4ucZ6,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-bezposrednio-ID4ucZ6,759407.0,PLN,18700.0,Gdańsk,54.356460652119,18.627955903531,40.61,2
4ucZF,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-bezposrednio-ID4ucZF,772005.0,PLN,18500.0,Gdańsk,54.356460652119,18.627955903531,41.73,2
4ucZ0,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-ID4ucZ0,778668.0,PLN,18700.0,Gdańsk,54.356460652119,18.627955903531,41.64,2
4ucZn,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-ogrodek-ID4ucZn,800172.0,PLN,18600.0,Gdańsk,54.356460652119,18.627955903531,43.02,2
4vIyC,otodom,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-113m2-balkon-ID4vIyC,2089791.0,PLN,18435.0,Warszawa,52.15812666438,21.083013235593,113.36,4
4vIy2,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-balkon-bezposrednio-ID4vIy2,1369040.0,PLN,19625.0,Warszawa,52.15812666438,21.083013235593,69.76,3
4ubqK,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-bezposrednio-ID4ubqK,965412.0,PLN,20471.0,Warszawa,52.15812666438,21.083013235593,47.16,2
4ucWP,otodom,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-71m2-2-loggie-bez-prowizji-ID4ucWP,0.0,PLN,,Warszawa,52.172792001893,20.994101765754,71.17,4
4z3Gu,otodom,https://www.otodom.pl/pl/oferta/stogi-2-pokoje-42-94-m-idealne-do-zamieszkania-lub-pod-inwestycje-ID4z3Gu,425000.0,PLN,9898.0,Gdańsk,54.3630747,18.7079379,42.94,2
4uEWa,otodom,https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-31m2-ogrodek-ID4uEWa,0.0,PLN,,Gdańsk,54.370508725093,18.637606713493,31.82,1
4zbiD,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-na-parterze-z-ogrodkiem-ID4zbiD,619000.0,PLN,15039.0,Gdańsk,54.3306303,18.5920293,41.16,2
4ynLw,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-bezposrednio-ID4ynLw,0.0,PLN,,Gdańsk,54.36254891016,18.627773447825,57.2,3
4ugIV,otodom,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-bez-prowizji-ID4ugIV,332220.0,PLN,12685.0,Gdańsk,54.298727301217,18.616083349985,26.19,1
4ySkp,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-loggia-ID4ySkp,829200.0,PLN,12600.0,Gdańsk,54.363594287659,18.573036731895,65.81,3
4uVVd,otodom,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-31m2-ogrodek-ID4uVVd,0.0,PLN,,Gdańsk,54.404796738622,18.570834167114,31.79,2
4uLU9,otodom,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-57m2-balkon-ID4uLU9,0.0,PLN,,Gdańsk,54.422622736473,18.56051759569,57.78,3
4ubfk,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-balkon-bez-prowizji-ID4ubfk,0.0,PLN,,Gdańsk,54.390678617348,18.580155355661,42.7,2
4uEP8,otodom,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-33m2-balkon-ID4uEP8,0.0,PLN,,Gdańsk,54.352677169759,18.675548601185,33.37,2
4vOrE,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-balkon-bez-prowizji-ID4vOrE,0.0,PLN,,Gdańsk,54.358556970269,18.664156226324,68.5,3
