offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2046408664,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-9-61m2-mzn2046408664,Gotowe mieszkanie 3 pok z dużym balkonem od Dewelopera,799900.0,PLN,12998.0,61.54,3.0,Gdansk,Stogi,Skiby,54.3644969,18.7076338,,
mzn2046505618,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-53m2-mzn2046505618,53 M2 Gdańsk Ujeścisko - 3 pokoje - 2 piętro - ekspozycja E/W,559000.0,PLN,10547.0,53.0,3.0,Gdansk,Ujescisko,Lostowice,54.31911,18.5918006,,
mzn2046470196,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-44m2-mzn2046470196,"Nowe mieszkanie 2 pokojowe z garderobą, gotowe do zamieszkania",689000.0,PLN,15659.0,44.0,2.0,Gdansk,Stogi,Skiby,54.3644969,18.7076338,,
mzn2042749997,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-32m2-mzn2042749997,GOTOWE mieszkanie 2 pokoje z ogródkiem 51mkw,516900.0,PLN,15905.0,32.5,2.0,Gdansk,Stogi,Skiby,54.3644969,18.7076338,,
mzn2045752188,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-67m2-mzn2045752188,Mieszkanie na sprzedaż - 67 m² - 4 pokoje Orunia Górna-Gdańsk Południe Gdańsk,356000.0,PLN,13883.0,25.64,4.0,Gdansk,Orunia,Gorna,54.347549,18.641673,,
mzn2045450940,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-aniolki-powstancow-warszawskich-107m2-mzn2045450940,Mieszkanie na sprzedaż - 107 m² - 4 pokoje Aniołki Gdańsk,2158600.0,PLN,20000.0,107.93,4.0,Gdansk,Aniolki,Powstancow,54.3523596,18.6365678,,
mzn2046468423,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-angielska-grobla-47m2-mzn2046468423,Apartament 2 pokojowy Riverview Gdańsk Angielska Grobla,1199000.0,PLN,25456.0,47.1,2.0,Gdansk,Srodmiescie,Angielska,54.35035155,18.6558259,,
mzn2045080795,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-wioslowa-27m2-mzn2045080795,Apartament - 800 m od morza. Pierwsza linia - Widok na las,499000.0,PLN,18232.0,27.37,2.0,Gdansk,Wyspa,Sobieszewska,54.3495744,18.8163304,,
mzn2045080839,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-wioslowa-55m2-mzn2045080839,Apartment nad morzem. Pierwsza linia 800 m od morza. Widok na las z 12 metrów,899000.0,PLN,16271.0,55.25,4.0,Gdansk,Wyspa,Sobieszewska,54.3495744,18.8163304,,
mzn2046286501,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-zielona-60m2-mzn2046286501,15 minut spacerem od Starówki i SKM ׀ przy rzece ׀ wysokie stropy,899000.0,PLN,14983.0,61.0,3.0,Gdansk,Srodmiescie,Zielona,54.3401019,18.6542044,,
mzn2046275729,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-aleja-ksiedza-jerzego-popieluszki-75m2-mzn2046275729,PANORAMICZNY widok - Gdańsk Żurawie Śródmieście - ZAKUP BEZ PCC BEZ PROWIZJI,1850000.0,PLN,24371.0,75.91,3.0,Gdansk,Srodmiescie,Aleja,54.391633,18.5996092,,
mzn2046183261,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kmdr-tadeusza-braminskiego-51m2-mzn2046183261,PANORAMICZNY WIDOK - 3pokoje - BEZ PROWIZJI,765000.0,PLN,14849.0,51.52,3.0,Gdansk,Ujescisko,Lostowice,54.31911,18.5918006,,
mzn2046479760,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-39m2-mzn2046479760,Mieszkanie na sprzedaż - 39 m² - 2 pokoje Brzeźno Gdańsk,653874.0,PLN,16600.0,39.39,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
