source,offer_id,url,title,price_amount,price_currency,price_per_m2,city,district,street,lat,lon,area_m2,rooms,floor,floors,market_type,property_type,first_seen,last_seen
trojmiasto,ogl66195095,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-3-pokojowe-osiedle-alfa-park-sprzedaz-prywatna-ogl66195095.html,,925000,PLN,14453.12,Kowale,,,54.35047,18.55657,64,3,,,,,,
trojmiasto,ogl66213063,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/kawalerka-na-sprzedaz-piekny-widok-10-pietro-sopot-ogl66213063.html,,499000,PLN,15472.87,Sopot,,,54.4337,18.56152,32.25,1,,,,,,
trojmiasto,ogl66252142,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-3-pokoje-gdansk-kowale-ul-zeusa-ogl66252142.html,,585000,PLN,10904.01,Kowale,,,54.30315,18.57369,53.65,3,,,,,,
trojmiasto,ogl66049857,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/ogrody-tesoro-apartament-na-sprzedaz-ogl66049857.html,,1400000,PLN,16756.43,Pogorze,,,54.57011,18.47521,83.55,4,,,,,,
trojmiasto,ogl66246475,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-przestronne-mieszkanie-w-sercu-gdanska-ogl66246475.html,,849000,PLN,13328.1,Gdansk,,,54.37993,18.58644,63.7,3,,,,,,
trojmiasto,ogl66248815,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-4-pokoje-gdansk-morena-ogl66248815.html,,729000,PLN,9884.75,Kowale,,,54.35837,18.58693,73.75,4,,,,,,
trojmiasto,ogl66208353,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/osiedle-zen-gdansk-orunia-kawalerka-na-sprzedaz-ogl66208353.html,,346100,PLN,12594.61,Rotmanka,,,54.29781,18.60391,27.48,1,,,,,,
trojmiasto,ogl66265728,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/nowoczesne-mieszkanie-na-sprzedaz-gdynia-stan-d-ogl66265728.html,,714000,PLN,13699.16,Wielki Kack,,,54.47022,18.50931,52.12,2,,,,,,
trojmiasto,ogl66265558,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/mieszkanie-na-sprzedaz-gdynia-dzialki-lesne-ogl66265558.html,,717000,PLN,10701.49,Gdynia,,,54.51528,18.53257,67,2,,,,,,
trojmiasto,ogl66265351,https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/na-sprzedaz-mieszkanie-4-pokoje-z-pieknym-widokiem-ogl66265351.html,,1100000,PLN,17187.5,Sopot,,,54.42114,18.57037,64,4,,,,,,
