wejscie,miasto
andrychow,Andrychów
augustow,Augustów
baborow,Baborów
bakalarzewo,Bakałarzewo
bartag,Bartąg
baszkowka,Baszkówka
baltow,Bałtów
baluty,Bałuty
banska nizna,Bańska Niżna
bazyny,Bażyny
belsk duzy,Belsk Duży
belchatow,Bełchatów
biala,Biała
biala piska,Biała Piska
biala podlaska,Biała Podlaska
biala rawska,Biała Rawska
biala woda,Biała Woda
bialawy male,Białawy Małe
bialcz,Białcz
biale blota,Białe Błota
bialka tatrzanska,Białka Tatrzańska
bialochowo,Białochowo
bialogard,Białogard
bialopole,Białopole
bialostoczek,Białostoczek
bialowieza,Białowieża
bialowas,Białowąs
bialoleka,Białołęka
bialy bor,Biały Bór
bialy kosciol,Biały Kościół
bialystok,Białystok
bieganow,Bieganów
bielany wroclawskie,Bielany Wrocławskie
bielsko-biala,Bielsko-Biała
bierutow,Bierutów
bierun,Bieruń
bienczyce,Bieńczyce
bilgoraj,Biłgoraj
bincze,Bińcze
boczow,Boczów
boguchwala,Boguchwała
bogumilow,Bogumiłów
boguszow-gorce,Boguszów-Gorce
bojadla,Bojadła
boleslawiec,Bolesławiec
boleslawowo,Bolesławowo
boleslawow,Bolesławów
bolkow,Bolków
borzecin duzy,Borzęcin Duży
borow,Borów
borowiec,Borówiec
boze,Boże
bozepole male,Bożepole Małe
bozepole wielkie,Bożepole Wielkie
boznow,Bożnów
bransk,Brańsk
bronislawki,Bronisławki
bronow,Bronów
brudzyn,Brudzyń
brwinow,Brwinów
brzezina sulowska,Brzezina Sułowska
brzesc kujawski,Brześć Kujawski
brzeznica,Brzeźnica
brzezno szlacheckie,Brzeźno Szlacheckie
brzezany,Brzeżany
brzostow,Brzostów
brzozow,Brzozów
brzozowka,Brzozówka
budziszow wielki,Budziszów Wielki
budzyn,Budzyń
bukowina tatrzanska,Bukowina Tatrzańska
bukowko,Bukówko
burkatow,Burkatów
busko-zdroj,Busko-Zdrój
bystrzyca klodzka,Bystrzyca Kłodzka
byslaw,Bysław
bytom odrzanski,Bytom Odrzański
bytow,Bytów
bakowo,Bąkowo
bakow,Bąków
bedzienica,Będzienica
bedzimierz,Będzimierz
bedzin,Będzin
bedzino,Będzino
bladnice dolne,Bładnice Dolne
blazejewo,Błażejewo
blonie,Błonie
blotnica,Błotnica
blakaly,Błąkały
cedry male,Cedry Małe
chalupy,Chałupy
chelm,Chełm
chelm slaski,Chełm Śląski
chelmek,Chełmek
chelmica duza,Chełmica Duża
chelmica-cukrownia,Chełmica-Cukrownia
chelmiczki,Chełmiczki
chelmiec,Chełmiec
chelmno,Chełmno
chelmsko slaskie,Chełmsko Śląskie
chelmza,Chełmża
chocen,Choceń
chocianow,Chocianów
chodziez,Chodzież
chodow,Chodów
chojnow,Chojnów
chojecin,Chojęcin
chojecin-szum,Chojęcin-Szum
chomecice,Chomęcice
chometowo,Chomętowo
choryn,Choryń
chorzow,Chorzów
choragwica,Chorągwica
chrzanow,Chrzanów
chrzastowo,Chrząstowo
chroscina,Chróścina
checiny,Chęciny
chlapowo,Chłapowo
chlopy,Chłopy
ciborz,Cibórz
ciechanow,Ciechanów
ciechow,Ciechów
cielmow,Cielmów
cieszkow,Cieszków
cieslin,Cieślin
czarna bialostocka,Czarna Białostocka
czarna dabrowka,Czarna Dąbrówka
czarnkow,Czarnków
czarny bor,Czarny Bór
czarnow,Czarnów
czchow,Czchów
czeladz,Czeladź
czempin,Czempiń
czernichow,Czernichów
czerwiensk,Czerwieńsk
czmon,Czmoń
czosnow,Czosnów
czyze,Czyże
czyzowice,Czyżowice
czyzyny,Czyżyny
czestochowa,Częstochowa
czestocice,Częstocice
czlopa,Człopa
czluchow,Człuchów
damaslawek,Damasławek
darlowo,Darłowo
darz,Darż
daszowka,Daszówka
dobrzen wielki,Dobrzeń Wielki
dobrzyniowka,Dobrzyniówka
dobrzyn nad wisla,Dobrzyń nad Wisłą
dominow,Dominów
domislaw,Domisław
dolhobyczow,Dołhobyczów
doluje,Dołuje
drzazgowo,Drzązgowo
duszniki-zdroj,Duszniki-Zdrój
dynow,Dynów
dzialdowo,Działdowo
dzialoszyce,Działoszyce
dzialoszyn,Działoszyn
dziekanow lesny,Dziekanów Leśny
dziekanow polski,Dziekanów Polski
dziepolc,Dziepółć
dzierzgon,Dzierzgoń
dzierzazenko,Dzierzążenko
dzierzoniow,Dzierżoniów
dzierzazno,Dzierżążno
dziwiszow,Dziwiszów
dziwnow,Dziwnów
dziwnowek,Dziwnówek
dabie,Dąbie
dabie kujawskie,Dąbie Kujawskie
dabki,Dąbki
dabrowa,Dąbrowa
dabrowa bialostocka,Dąbrowa Białostocka
dabrowa gornicza,Dąbrowa Górnicza
dabrowa rzeczycka,Dąbrowa Rzeczycka
dabrowa szlachecka,Dąbrowa Szlachecka
dabrowa tarnowska,Dąbrowa Tarnowska
dabrowica,Dąbrowica
dabrowka,Dąbrówka
dabrowno,Dąbrówno
debica,Dębica
debice,Dębice
debieniec,Dębieniec
debina,Dębina
debki,Dębki
deblin,Dęblin
debnica kaszubska,Dębnica Kaszubska
debniki,Dębniki
debno,Dębno
debogorze,Dębogórze
debowo,Dębowo
dluga,Długa
dluga goslina,Długa Goślina
dluga koscielna,Długa Kościelna
dlugie stare,Długie Stare
dlugopole-zdroj,Długopole-Zdrój
dlugoleka,Długołęka
dlutow,Dłutów
dzwierzno,Dźwierzno
dzwierzuty,Dźwierzuty
dzwirzyno,Dźwirzyno
elblag,Elbląg
elganowo,Ełganowo
elk,Ełk
falenty duze,Falenty Duże
falkowo,Fałkowo
gajkow,Gajków
garbow,Garbów
galezice,Gałęzice
gdansk,Gdańsk
gdow,Gdów
gizyce,Giżyce
gizycko,Giżycko
goczalkowice-zdroj,Goczałkowice-Zdrój
goczalkow,Goczałków
goleniow,Goleniów
golub-dobrzyn,Golub-Dobrzyń
gorzanow,Gorzanów
gorzkow-osada,Gorzków-Osada
gorzow wielkopolski,Gorzów Wielkopolski
gostyn,Gostyń
golaszyn,Gołaszyn
golancz,Gołańcz
goldap,Gołdap
goscicino,Gościcino
goscino,Gościno
gosciszewo,Gościszewo
grabowo koscierskie,Grabowo Kościerskie
grabowo krolewskie,Grabowo Królewskie
grabowka,Grabówka
grodkow,Grodków
gronowo elblaskie,Gronowo Elbląskie
gronow,Gronów
grudziadz,Grudziądz
grybow,Grybów
gryfow slaski,Gryfów Śląski
gryzliny,Gryźliny
