Wejście,Nazwa w TERYT,Typ
Adamowo,Adamowo,
Aleksandrowiec,Aleksandrowiec,
Andrespol,Andrespol,
Andrychów,Andrychów,
Anusin,Anusin,
Arcugowo,Arcugowo,
Augustów,Augustów,
Awajki,Awajki,
Babice,Babice,
Babkowice,Babkowice,
Baborów,Baborów,
Bakałarzewo,Bakałarzewo,
Bąków,Bąków,
Bąkowo,Bąkowo,
Balice,Balice,
Bałtów,Bałtów,
Bałuty,Bałuty,
Banie,Banie,
Baniewice,Baniewice,
Banino,Banino,
Baniocha,Baniocha,
Bańska Niżna,Bańska Niżna,
Baranowo,Baranowo,
Barcin,Barcin,
Barcino,Barcino,
Barczewko,Barczewko,
Barczewo,Barczewo,
Bardo,Bardo,
Barlinek,Barlinek,
Bartąg,Bartąg,
Bartoszyce,Bartoszyce,
Barwice,Barwice,
Barwinek,Barwinek,
Barzkowice,Barzkowice,
Baszkówka,Baszkówka,
Batorowo,Batorowo,
Batowo,Batowo,
Bażyny,Bażyny,
Będzienica,Będzienica,
Będzimierz,Będzimierz,
Będzin,Będzin,
Będzino,Będzino,
Bełchatów,Bełchatów,
Belsk Duży,Belsk Duży,
Bemowo,Bemowo,
Bemowo Piskie,Bemowo Piskie,
Bezek,Bezek,
Bezrzecze,Bezrzecze,
Biadki,Biadki,
Biała,Biała,
Biała Piska,Biała Piska,
Biała Podlaska,Biała Podlaska,
Biała Rawska,Biała Rawska,
Biała Woda,Biała Woda,
Białawy Małe,Białawy Małe,
Białcz,Białcz,
Białe Błota,Białe Błota,
Białka Tatrzańska,Białka Tatrzańska,
Białochowo,Białochowo,
Białogard,Białogard,
Białołęka,Białołęka,
Białopole,Białopole,
Białostoczek,Białostoczek,
Białowąs,Białowąs,
Białowieża,Białowieża,
Biały Bór,Biały Bór,
Biały Kościół,Biały Kościół,
Białystok,Białystok,
Bibice,Bibice,
Biedrusko,Biedrusko,
Biedrzychowice,Biedrzychowice,
Bieganów,Bieganów,
Bieganowo,Bieganowo,
Bielany,Bielany,
Bielany Wrocławskie,Bielany Wrocławskie,
Bielawa,Bielawa,
Bielikowo,Bielikowo,
Bielsko,Bielsko,
Bielsko-Biała,Bielsko-Biała,
Bielsk Podlaski,Bielsk Podlaski,
Bieńczyce,Bieńczyce,
Bieruń,Bieruń,
Bierutów,Bierutów,
Bierzwnik,Bierzwnik,
Biesal,Biesal,
Biesiekierz,Biesiekierz,
Biesowice,Biesowice,
Bilcza,Bilcza,
Biłgoraj,Biłgoraj,
Bińcze,Bińcze,
Biskupice,Biskupice,
Biskupiec,Biskupiec,
Bisztynek,Bisztynek,
Blachownia,Blachownia,
Bładnice Dolne,Bładnice Dolne,
Błąkały,Błąkały,
Błażejewo,Błażejewo,
Bledzew,Bledzew,
Błonie,Błonie,
Błotnica,Błotnica,
Bobolice,Bobolice,
Bobra Wielka,Bobra Wielka,
Bobrowniki,Bobrowniki,
Bobrowo,Bobrowo,
Bochnia,Bochnia,
Bocianowo,Bocianowo,
Boczów,Boczów,
Bogatynia,Bogatynia,
Bogdanowo,Bogdanowo,
Boguchwała,Boguchwała,
Bogumiłów,Bogumiłów,
Boguszów-Gorce,Boguszów-Gorce,
Boguszyce,Boguszyce,
Bojadła,Bojadła,
Bojano,Bojano,
Bojanowo,Bojanowo,
Bolechowo,Bolechowo,
Bolesławiec,Bolesławiec,
Bolesławów,Bolesławów,
Bolesławowo,Bolesławowo,
Bolków,Bolków,
Bolszewo,Bolszewo,
Bondary,Bondary,
Bonin,Bonin,
Borki,Borki,
Borkowo,Borkowo,
Borne Sulinowo,Borne Sulinowo,
Borów,Borów,
Borówiec,Borówiec,
Borzechowo,Borzechowo,
Borzęcin Duży,Borzęcin Duży,
Borzymy,Borzymy,
Boszkowo,Boszkowo,
Boszkowo-Letnisko,Boszkowo-Letnisko,
Boże,Boże,
Bożepole Małe,Bożepole Małe,
Bożepole Wielkie,Bożepole Wielkie,
Bożnów,Bożnów,
Branice,Branice,
Braniewo,Braniewo,
Brańsk,Brańsk,
Brenna,Brenna,
Brenno,Brenno,
Brodnica,Brodnica,
Broniewice,Broniewice,
Bronisławki,Bronisławki,
Bronów,Bronów,
Bronowice,Bronowice,
Brudzyń,Brudzyń,
Brwinów,Brwinów,
Brzeg,Brzeg,
Brzeg Dolny,Brzeg Dolny,
Brześć Kujawski,Brześć Kujawski,
Brzeski,Brzeski,
Brzesko,Brzesko,
Brzeszcze,Brzeszcze,
Brzeszczyny,Brzeszczyny,
Brzeżany,Brzeżany,
Brzezie,Brzezie,
Brzezina,Brzezina,
Brzezina Sułowska,Brzezina Sułowska,
Brzeziny,Brzeziny,
Brzezna,Brzezna,
Brzeźnica,Brzeźnica,
Brzeźno Szlacheckie,Brzeźno Szlacheckie,
Brzostów,Brzostów,
Brzoza,Brzoza,
Brzozów,Brzozów,
Brzozowa,Brzozowa,
Brzozówka,Brzozówka,
Brzozowo,Brzozowo,
Buczyna,Buczyna,
Budowo,Budowo,
Budziszów Wielki,Budziszów Wielki,
Budzyń,Budzyń,
Buk,Buk,
Bukowice,Bukowice,
Bukowie,Bukowie,
Bukowina Tatrzańska,Bukowina Tatrzańska,
Bukówko,Bukówko,
Bukowno,Bukowno,
Burkatów,Burkatów,
Busko-Zdrój,Busko-Zdrój,
Buszkowy,Buszkowy,
Byczyna,Byczyna,
Bydgoszcz,Bydgoszcz,
Bynowo,Bynowo,
Bysław,Bysław,
Bystra,Bystra,
Bystrzyca,Bystrzyca,
Bystrzyca Kłodzka,Bystrzyca Kłodzka,
Byszkowo,Byszkowo,
Bytnica,Bytnica,
Bytom,Bytom,
Bytom Odrzański,Bytom Odrzański,
Bytów,Bytów,
Cedry Małe,Cedry Małe,
Cedry Wielkie,Cedry Wielkie,
Cedzyna,Cedzyna,
Cegielnia,Cegielnia,
Cekcynek,Cekcynek,
Centrum,Centrum,
Cepno,Cepno,
Cerekwica,Cerekwica,
Cerkwica,Cerkwica,
Cewice,Cewice,
Chałupy,Chałupy,
Charzykowy,Charzykowy,
Chęciny,Chęciny,
Chełm,Chełm,
Chełmek,Chełmek,
Chełmica-Cukrownia,Chełmica-Cukrownia,
Chełmica Duża,Chełmica Duża,
Chełmiczki,Chełmiczki,
Chełmiec,Chełmiec,
Chełmno,Chełmno,
Chełmsko Śląskie,Chełmsko Śląskie,
Chełm Śląski,Chełm Śląski,
Chełmża,Chełmża,
Chłapowo,Chłapowo,
